fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2310_p0.json,finished,05fd9a9b-0c95-412e-ad13-c4eb672d3bb5,10824 cpu-seconds,43412133 mb-seconds,503,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2320_p0.json,finished,7a6923a8-9224-4870-9d69-dcbf0ddd5f14,2279 cpu-seconds,8675238 mb-seconds,334,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2340_p0.json,finished,0ccc88d6-1c8a-4142-bea1-0d9549997e0e,27819 cpu-seconds,112661413 mb-seconds,758,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2350_p0.json,finished,96074dfb-29d3-4ad5-97c1-355d453e872c,20099 cpu-seconds,81196453 mb-seconds,639,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2390_p0.json,finished,ce731144-5699-43aa-919a-65257a3f7a7d,17520 cpu-seconds,71150941 mb-seconds,430,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2900_p0.json,finished,7a0e363c-bb35-4caa-bb55-9ddca0720614,28549 cpu-seconds,116274514 mb-seconds,461,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id7100_p0.json,finished,2ee9dc73-b15b-444a-8cbc-abca67cc0216,26522 cpu-seconds,107792266 mb-seconds,495,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id7200_p0.json,finished,78718d29-53ae-45b8-9ebf-db4e4f947e0e,2605 cpu-seconds,10040177 mb-seconds,321,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id7700_p0.json,finished,e29f314f-2c0a-4461-916d-aad39af0ed72,20387 cpu-seconds,82694089 mb-seconds,476,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id7900_p0.json,finished,8ea14e3f-ca30-42c8-a1c4-07a1998ff0a3,45785 cpu-seconds,186657128 mb-seconds,566,tbd
